timestamp,sensor_id,latitude,longitude,pm25,pm10,no2,o3,co,aqi,temperature,humidity
2025-10-21 16:43:47.322289,DL_ITO,28.628,77.2497,234.45,422.01,49.65,85.63,4.325,284,12.0,56.2
2025-10-21 22:43:47.322289,DL_ITO,28.628,77.2497,314.92,566.86,122.59,83.27,2.498,351,17.1,40.5
2025-10-22 01:43:47.322289,DL_ITO,28.628,77.2497,302.55,544.6,79.56,45.39,4.376,341,24.8,39.2
2025-10-22 04:43:47.322289,DL_ITO,28.628,77.2497,195.47,351.85,74.31,56.92,5.19,245,26.2,41.0
2025-10-22 07:43:47.322289,DL_ITO,28.628,77.2497,253.46,456.23,93.6,36.94,1.806,302,22.8,63.5
2025-10-22 10:43:47.322289,DL_ITO,28.628,77.2497,341.18,614.12,109.67,46.32,1.959,372,20.9,55.5
2025-10-22 13:43:47.322289,DL_ITO,28.628,77.2497,191.57,344.83,47.75,88.65,2.716,241,13.3,54.9
2025-10-22 16:43:47.322289,DL_ITO,28.628,77.2497,272.45,490.41,86.61,63.27,2.369,317,12.0,64.1
2025-10-22 22:43:47.322289,DL_ITO,28.628,77.2497,310.91,559.64,52.08,38.72,1.713,348,20.7,44.8
2025-10-23 01:43:47.322289,DL_ITO,28.628,77.2497,360.68,649.22,66.71,83.01,3.177,388,24.2,43.4
2025-10-23 04:43:47.322289,DL_ITO,28.628,77.2497,187.21,336.98,50.96,94.08,5.13,236,27.0,41.0
2025-10-23 07:43:47.322289,DL_ITO,28.628,77.2497,156.46,281.63,110.24,74.48,4.926,206,22.7,58.1
2025-10-23 10:43:47.322289,DL_ITO,28.628,77.2497,317.12,570.82,114.05,68.63,3.055,353,17.5,36.9
2025-10-23 13:43:47.322289,DL_ITO,28.628,77.2497,207.5,373.49,71.01,76.07,4.497,257,12.6,61.6
2025-10-23 16:43:47.322289,DL_ITO,28.628,77.2497,237.41,427.34,105.86,64.29,5.124,287,12.0,49.8
2025-10-23 22:43:47.322289,DL_ITO,28.628,77.2497,299.13,538.44,79.2,26.78,2.007,338,19.1,35.9
2025-10-24 01:43:47.322289,DL_ITO,28.628,77.2497,268.66,483.59,117.61,42.45,3.429,314,24.7,57.7
2025-10-24 04:43:47.322289,DL_ITO,28.628,77.2497,274.14,493.44,51.16,45.28,2.258,318,25.9,62.9
2025-10-24 07:43:47.322289,DL_ITO,28.628,77.2497,171.14,308.05,109.29,38.06,5.695,220,26.1,51.2
2025-10-24 10:43:47.322289,DL_ITO,28.628,77.2497,371.74,669.13,116.69,47.26,2.017,397,20.2,41.8
2025-10-24 13:43:47.322289,DL_ITO,28.628,77.2497,283.38,510.09,45.56,60.75,3.462,326,14.8,41.7
2025-10-24 16:43:47.322289,DL_ITO,28.628,77.2497,267.24,481.04,72.01,91.0,3.019,313,12.0,50.6
2025-10-24 22:43:47.322289,DL_ITO,28.628,77.2497,264.44,476.0,122.0,42.62,3.837,311,20.9,44.0
2025-10-25 01:43:47.322289,DL_ITO,28.628,77.2497,300.22,540.39,47.95,67.67,3.863,339,23.8,36.5
2025-10-25 04:43:47.322289,DL_ITO,28.628,77.2497,193.44,348.19,56.59,59.26,6.133,243,26.0,42.3
2025-10-25 07:43:47.322289,DL_ITO,28.628,77.2497,102.95,185.31,105.93,41.63,4.923,175,25.3,46.0
2025-10-25 10:43:47.322289,DL_ITO,28.628,77.2497,300.27,540.48,52.22,83.47,3.008,339,19.1,40.6
2025-10-25 13:43:47.322289,DL_ITO,28.628,77.2497,230.02,414.04,92.27,72.43,1.578,279,12.0,50.4
2025-10-25 16:43:47.322289,DL_ITO,28.628,77.2497,235.16,423.28,100.28,52.07,5.903,284,12.0,39.1
2025-10-25 22:43:47.322289,DL_ITO,28.628,77.2497,177.71,319.88,54.08,89.73,5.623,227,18.4,42.7
2025-10-26 01:43:47.322289,DL_ITO,28.628,77.2497,285.81,514.46,87.37,41.93,1.938,328,24.9,61.9
2025-10-26 04:43:47.322289,DL_ITO,28.628,77.2497,195.38,351.69,95.65,48.73,3.141,244,27.0,56.8
2025-10-26 07:43:47.322289,DL_ITO,28.628,77.2497,138.02,248.43,57.93,87.9,4.35,193,23.0,35.3
2025-10-26 10:43:47.322289,DL_ITO,28.628,77.2497,292.74,526.93,98.08,25.35,2.256,333,17.4,51.5
2025-10-26 13:43:47.322289,DL_ITO,28.628,77.2497,216.3,389.34,101.97,41.61,3.029,265,12.2,57.4
2025-10-26 16:43:47.322289,DL_ITO,28.628,77.2497,262.2,471.95,112.94,71.03,4.171,309,12.0,37.8
2025-10-26 22:43:47.322289,DL_ITO,28.628,77.2497,171.83,309.29,122.84,52.52,5.693,221,18.0,53.9
2025-10-27 01:43:47.322289,DL_ITO,28.628,77.2497,294.54,530.17,85.21,65.38,3.815,335,25.8,40.9
2025-10-27 04:43:47.322289,DL_ITO,28.628,77.2497,193.91,349.05,96.64,37.4,5.92,243,25.1,63.6
2025-10-27 07:43:47.322289,DL_ITO,28.628,77.2497,190.17,342.31,74.61,26.08,5.863,239,26.3,47.8
2025-10-27 10:43:47.322289,DL_ITO,28.628,77.2497,307.31,553.16,113.09,47.18,2.297,345,18.5,51.7
2025-10-27 13:43:47.322289,DL_ITO,28.628,77.2497,263.52,474.33,100.68,64.9,1.957,310,15.1,53.5
2025-10-27 16:43:47.322289,DL_ITO,28.628,77.2497,321.22,578.2,100.76,74.17,3.19,356,12.0,43.8
2025-10-27 22:43:47.322289,DL_ITO,28.628,77.2497,304.22,547.6,109.81,85.7,5.792,343,20.2,50.3
2025-10-28 01:43:47.322289,DL_ITO,28.628,77.2497,382.9,689.23,101.16,80.71,5.683,406,25.3,45.1
2025-10-28 04:43:47.322289,DL_ITO,28.628,77.2497,232.73,418.91,52.52,65.48,1.669,282,26.5,49.0
2025-10-28 07:43:47.322289,DL_ITO,28.628,77.2497,79.54,143.18,47.44,27.61,5.366,162,25.0,45.8
2025-10-28 10:43:47.322289,DL_ITO,28.628,77.2497,339.7,611.46,86.78,78.9,2.514,371,17.5,53.7
2025-10-28 13:43:47.322289,DL_ITO,28.628,77.2497,328.0,590.39,103.09,93.31,3.927,362,13.9,44.7
2025-10-28 16:43:47.322289,DL_ITO,28.628,77.2497,352.66,634.79,66.67,55.73,1.869,381,12.2,35.8
2025-10-28 22:43:47.322289,DL_ITO,28.628,77.2497,271.29,488.33,57.51,42.52,4.081,316,17.7,56.4
2025-10-29 01:43:47.322289,DL_ITO,28.628,77.2497,391.86,705.35,67.39,91.84,4.968,413,25.3,51.6
2025-10-29 04:43:47.322289,DL_ITO,28.628,77.2497,179.36,322.85,73.48,78.05,1.568,228,26.0,38.5
2025-10-29 07:43:47.322289,DL_ITO,28.628,77.2497,224.83,404.7,48.26,84.88,4.807,274,22.8,49.2
2025-10-29 10:43:47.322289,DL_ITO,28.628,77.2497,324.63,584.34,58.86,55.37,3.373,359,18.9,53.5
2025-10-29 13:43:47.322289,DL_ITO,28.628,77.2497,195.13,351.24,48.62,51.22,4.442,244,13.9,50.1
2025-10-29 16:43:47.322289,DL_ITO,28.628,77.2497,295.12,531.22,50.65,69.97,1.625,335,12.0,52.6
2025-10-29 22:43:47.322289,DL_ITO,28.628,77.2497,338.56,609.4,91.04,52.17,4.523,370,20.8,48.7
2025-10-30 01:43:47.322289,DL_ITO,28.628,77.2497,352.88,635.19,121.9,88.37,2.42,381,24.2,37.1
2025-10-30 04:43:47.322289,DL_ITO,28.628,77.2497,235.27,423.49,46.46,31.61,4.71,284,25.4,37.1
2025-10-30 07:43:47.322289,DL_ITO,28.628,77.2497,186.48,335.67,110.16,44.73,2.055,236,22.7,55.9
2025-10-30 10:43:47.322289,DL_ITO,28.628,77.2497,306.83,552.29,115.2,76.45,5.276,345,19.5,43.5
2025-10-30 13:43:47.322289,DL_ITO,28.628,77.2497,254.51,458.11,124.24,53.88,3.248,303,14.6,58.3
2025-10-30 16:43:47.322289,DL_ITO,28.628,77.2497,250.52,450.93,119.46,85.09,3.516,300,12.0,57.5
2025-10-30 22:43:47.322289,DL_ITO,28.628,77.2497,285.85,514.53,85.42,82.85,3.004,328,20.6,61.9
2025-10-31 01:43:47.322289,DL_ITO,28.628,77.2497,335.87,604.57,45.87,88.38,1.929,368,24.2,44.6
2025-10-31 04:43:47.322289,DL_ITO,28.628,77.2497,308.93,556.07,68.46,48.01,4.661,346,26.8,57.6
2025-10-31 07:43:47.322289,DL_ITO,28.628,77.2497,193.69,348.65,108.17,31.38,3.824,243,25.8,36.7
2025-10-31 10:43:47.322289,DL_ITO,28.628,77.2497,241.81,435.26,73.07,33.19,2.172,291,20.6,57.8
2025-10-31 13:43:47.322289,DL_ITO,28.628,77.2497,303.25,545.86,53.09,30.89,4.795,342,13.8,37.2
2025-10-31 16:43:47.322289,DL_ITO,28.628,77.2497,301.29,542.32,51.79,94.06,3.259,340,12.0,46.1
